ID	Group	Init. Comp.	Donor	S->E	E->I	I->D	D->R	f_a	f_e	g_a	g_e	r_a	r_e
Ind420	17	S	0	3.85674	4.41447	23.1465	57.3949	-1.98766	-0.990539	0.371551	1.27677	0.217243	0.857974
Ind421	17	S	0	5.54862	55.0101	58.4197	122.825	-2.99114	0.822456	-0.88322	-0.853648	0.317096	1.26206
Ind422	17	S	0	50.3693	59.2644	67.5755	115.186	-2.89687	-0.731323	-0.286296	-0.42164	0.745113	0.520016
Ind423	17	S	0	6.88088	6.88486	8.20539	9.77351	-0.381075	-1.0695	-0.195692	0.697163	-0.42454	-0.905179
Ind424	17	S	0	18.2781	18.6232	24.4164	26.5654	0.507105	-0.951742	-1.02345	-0.98292	-0.379872	-0.476881
Ind425	17	S	0	7.57058	7.96242	8.35141	9.39999	-0.461006	0.731104	-2.07554	1.76182	-0.682322	-1.99322
Ind426	17	S	0	1.50223	5.94825	14.7255	18.8516	0.790355	-0.599238	0.610332	1.38971	-0.526008	0.312375
Ind427	17	S	0	no	no	no	no	0.987638	-2.75379	-1.65732	0.516488	-0.80722	-0.161149
Ind428	17	S	0	6.31598	8.5745	10.5336	22.9689	-1.19031	1.04683	-1.19201	0.147738	0.112396	-0.376461
Ind429	17	S	0	0.687098	1.29471	1.95045	3.87652	1.40192	-0.282119	0.98509	0.517885	-0.447304	-0.753706
Ind430	17	S	0	12.3536	12.4814	12.9991	14.5007	-0.0958785	-0.927689	-0.662083	-0.399784	-0.752279	-0.296237
Ind431	17	S	0	7.11274	7.12263	7.60211	10.4997	-0.324103	-0.308701	0.86317	0.540377	-0.657458	-0.495003
Ind432	17	S	0	3.16478	4.13925	4.37842	5.61187	0.663554	-0.75823	1.4343	0.145303	-1.74784	0.39154
Ind433	17	S	0	2.7477	5.48989	8.39408	22.7374	2.29208	1.48113	1.41201	0.1051	-1.29064	0.967027
Ind434	17	S	0	15.5927	15.8517	16.614	19.7946	-0.0294492	-0.290132	-0.1938	-1.8177	-0.890754	-0.554623
Ind435	17	S	0	13.1025	13.8044	15.8977	18.9999	-2.05094	-0.925588	-1.19419	-0.253972	0.783408	-1.31015
Ind436	17	S	0	no	no	no	no	-0.555713	0.180516	-0.384835	-1.67569	0.00115883	-0.17555
Ind437	17	S	0	10.2726	11.119	12.0476	12.7365	0.3318	0.303505	-0.339172	-0.547524	-1.69404	1.29707
